sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision,wf_minus_max_0_1_margin_norm,wf_minus_max_0_1_target_drop_raw,wf_minus_max_0_1_target_drop_norm,wf_minus_max_0_1_bbox_precision
338,305632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,113233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,452663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,167598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,6673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,134981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,514508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,226848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,522639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,181860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,397809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,383107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,299481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,155488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,142056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,312795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,533872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,220607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,167781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,159627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,476331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,201111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
